,Dates,Year,SALES_REV_TURN,IS_COGS_TO_FE_AND_PP_AND_G,GROSS_PROFIT,IS_OPER_INC,EBITDA,IS_INC_TAX_EXP,EBIT,IS_INT_EXPENSE,IS_INT_INC,IS_NET_INTEREST_EXPENSE,IS_DEPR_EXP,IS_INVEST_INCOME,BS_TOT_ASSET,TOTAL_EQUITY,BS_TOT_LIAB2,BS_ST_DEBT,BS_LT_BORROW,C&CE_AND_STI_DETAILED,BS_SH_OUT,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,BS_ACCT_NOTE_RCV,ACCT_PAYABLE_&_ACCRUALS_DETAILED,BS_ACCT_PAYABLE,BS_ACCTS_REC_EXCL_NOTES_REC,BS_INVENTORIES,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,GICS_SECTOR,GICS_INDUSTRY_GROUP,GICS_INDUSTRY,GICS_SUB_INDUSTRY,ARD_NET_INC,SHORT_TERM_DEBT_DETAILED,LONG_TERM_BORROWINGS_DETAILED,symbol
1160,31/12/2008,2008,5132.768,3375.05,1757.718,684.699,934.19,180.617,684.699,99.678,1.802,97.876,227.183,NA,3634.719,349.944,3284.775,NA,1505.954,37.103,227.0351,1344.945,1270.212,455.153,249.454,249.454,455.153,592.53,519.561,-198.204,-413.452,NA,NA,NA,NA,311.405,NA,NA,HSY US EQUITY
1161,31/12/2009,2009,5298.668,3245.531,2053.137,761.59,944.001,235.137,761.59,91.336,0.877,90.459,182.411,NA,3675.031,760.339,2914.692,24.066,1502.73,253.605,227.9983,1385.434,910.628,410.39,860.379,287.935,410.39,519.712,1065.749,-150.326,-698.921,NA,NA,NA,NA,435.994,24.066,1502.73,HSY US EQUITY
1162,31/12/2010,2010,5671.009,3255.801,2415.208,905.298,1102.414,299.065,905.298,97.704,1.27,96.434,197.116,NA,4272.732,937.601,3335.131,24.088,1539.477,884.642,227.0302,2005.217,1298.845,390.061,996.15,410.655,390.061,533.622,901.423,-199.286,-71.1,NA,NA,NA,NA,509.799,24.088,1539.477,HSY US EQUITY
1163,31/12/2011,2011,6080.788,3548.896,2531.892,1055.028,1270.791,333.883,1055.028,94.78,2.597,92.183,188.5,NA,4407.094,880.943,3526.151,42.08,1748.488,693.686,225.2059,2046.558,1173.775,399.499,1026.702,420.017,399.499,648.953,587.867,-340.005,-438.818,NA,NA,NA,NA,628.962,42.08,1748.488,HSY US EQUITY
1164,31/12/2012,2012,6644.252,3784.37,2859.882,1111.148,1321.185,354.648,1111.148,98.509,2.94,95.569,174.8,NA,4754.839,1048.373,3706.466,118.164,1530.967,728.272,223.786,2113.485,1471.11,461.383,1081.793,441.977,461.383,633.262,1094.827,-473.369,-586.872,NA,NA,NA,NA,660.931,118.164,1530.967,HSY US EQUITY
1165,31/12/2013,2013,7146.079,3865.231,3280.848,1338.051,1539.084,430.849,1338.051,91.514,3.158,88.356,166.5,NA,5357.488,1616.052,3741.436,165.961,1794.944,1118.508,223.8947,2487.334,1408.022,477.912,1241.018,461.514,477.912,659.541,1191.399,-351.58,-449.583,NA,NA,NA,NA,820.47,165.961,1794.944,HSY US EQUITY
1166,31/12/2014,2014,7421.768,4085.602,3336.166,1392.261,1603.793,459.131,1392.261,87.598,4.066,83.532,176.312,NA,5622.87,1519.53,4103.34,384.696,1542.317,471.985,221.045,2247.047,1935.647,596.94,1300.146,482.017,596.94,801.036,844.377,-862.573,-725.458,NA,NA,NA,NA,846.912,384.696,1542.317,HSY US EQUITY
1167,31/12/2015,2015,7386.626,4003.951,3382.675,1037.759,1282.687,388.896,1037.759,109.309,3.536,105.773,197.054,NA,5344.371,1047.462,4296.909,363.513,1557.091,346.529,216.7774,1848.598,2217.912,599.073,1354.476,474.266,599.073,750.97,1256.311,-477.255,-807.381,NA,NA,NA,NA,512.951,363.513,1557.091,HSY US EQUITY
1168,31/12/2016,2016,7440.181,4282.29,3157.891,1205.783,1507.62,379.437,1205.783,91.948,1.805,90.143,231.735,NA,5524.333,827.687,4696.646,632.471,2347.455,296.967,212.26,1816.778,1909.443,581.381,1276.729,522.536,581.381,745.678,1013.428,-595.454,-467.536,NA,NA,NA,NA,720.044,632.471,2347.455,HSY US EQUITY
1169,31/12/2017,2017,7515.426,4060.05,3455.376,1313.409,1575.262,354.131,1313.409,100.066,1.784,98.282,211.592,NA,5553.726,931.565,4622.161,559.359,2061.023,380.179,210.861,2001.91,2076.543,588.262,1217.086,523.229,588.262,752.836,1249.515,-328.664,-837.639,NA,NA,NA,NA,782.981,559.359,2061.023,HSY US EQUITY
1170,31/12/2018,2018,7791.069,4215.744,3575.325,1623.664,1918.808,239.01,1623.664,146.858,8.021,138.837,231.012,NA,7703.02,1407.266,6295.754,1197.929,3254.28,587.998,209.729,2239.181,2418.566,594.145,1210.514,502.314,594.145,784.879,1599.993,-1502.894,110.72,NA,NA,NA,NA,1177.562,1197.929,3254.28,HSY US EQUITY
1171,31/12/2004,2004,13104.325,10669.647,2434.678,439.022,556.814,135.838,439.022,23.172,NA,NA,107.3,NA,5657.617,2090.124,3567.493,NA,636.696,2725.724,160.2666,3596.137,2326.568,554.661,1910.342,1910.342,NA,0,347.809,-624.081,-75.053,NA,NA,NA,NA,280.012,192.06,636.696,HUM US EQUITY
1172,31/12/2005,2005,14418.127,11651.47,2766.657,559.892,688.75,113.231,559.892,39.315,NA,NA,105.1,NA,6869.614,2474.105,4395.509,NA,513.79,3086.92,163.2164,4206.186,3219.59,723.19,2470.232,2470.232,NA,0,625.627,-767.276,293.586,NA,NA,NA,NA,308.483,581.259,513.79,HUM US EQUITY
1173,31/12/2006,2006,21416.537,17421.204,3995.333,825.226,973.824,274.662,825.226,63.141,NA,NA,128.6,NA,10127.496,3053.886,7073.61,NA,1269.1,4932.577,166.6335,7332.973,5191.812,667.657,4114.919,4114.919,NA,0,1686.712,-1654.066,3100.359,NA,NA,NA,NA,487.423,293.605,1269.1,HUM US EQUITY
1174,31/12/2007,2007,25289.989,20270.531,5019.458,1358.178,1542.99,455.616,1358.178,68.878,NA,NA,162.4,NA,12879.074,4028.937,8850.137,NA,1687.823,5675.77,170.0184,8732.846,5791.851,592.761,3965.796,3965.796,NA,0,1224.262,-1845.391,3972.519,NA,NA,NA,NA,833.684,269.226,1687.823,HUM US EQUITY
1175,31/12/2008,2008,28946.372,23708.233,5238.139,1073.137,1293.487,345.694,1073.137,80.289,NA,80.289,183.3,NA,13041.76,4457.19,8584.57,NA,1937.032,6173.961,168.8255,8396.042,5183.945,777.672,4282.606,4282.606,NA,0,982.31,-498.324,-554.016,NA,NA,NA,NA,647.154,224.542,1937.032,HUM US EQUITY
